"PlayerName","Team","POS","ADP","PA","mAVG","mRBI","mR","mSB","mHR","PTS","aPOS","Dollars"
"Kevin Kramer","Pirates","2B/3B","597.6","91","($65.6)","($37.1)","($23.3)","($17.0)","($50.2)","($193.2)","$58.1","($134.0)"
"Nick Williams","Phillies","OF","539.4","107","($64.7)","($32.4)","($21.1)","($18.9)","($44.3)","($181.4)","$46.4","($134.0)"
"Garrett Cooper","Marlins","1B/OF","999.0","169","($57.6)","($34.7)","($24.6)","($19.3)","($46.4)","($182.6)","$46.4","($135.2)"
"Miguel Rojas","Marlins","1B/3B/SS","584.3","206","($50.8)","($36.7)","($26.2)","($16.1)","($49.0)","($178.9)","$42.6","($135.3)"
"Michael Hermosillo","Angels","OF","999.0","149","($68.4)","($35.4)","($21.2)","($11.0)","($46.7)","($182.7)","$46.4","($135.3)"
"Robbie Grossman","Athletics","OF/DH","594.6","159","($59.3)","($35.8)","($19.8)","($19.5)","($48.7)","($183.1)","$46.4","($135.7)"
"Aaron Altherr","Phillies","OF","600.5","146","($69.9)","($33.3)","($20.9)","($16.0)","($43.7)","($183.8)","$46.4","($136.4)"
"Clint Frazier","Yankees","OF/DH","547.5","96","($67.0)","($34.1)","($19.9)","($17.4)","($45.5)","($183.9)","$46.4","($136.6)"
"Jose Osuna","Pirates","1B/3B/OF","999.0","92","($62.4)","($35.0)","($22.1)","($18.7)","($48.5)","($186.7)","$48.5","($137.3)"
"Greg Garcia","Padres","2B","999.0","143","($64.3)","($39.5)","($24.1)","($16.7)","($52.1)","($196.6)","$58.1","($137.5)"
"Rio Ruiz","Orioles","3B","999.0","137","($63.7)","($35.4)","($22.4)","($19.3)","($46.4)","($187.1)","$48.5","($137.6)"
"Cory Spangenberg","Brewers","2B/3B","598.8","75","($68.5)","($37.5)","($23.1)","($18.0)","($50.6)","($197.6)","$58.1","($138.5)"
"Tommy La Stella","Angels","3B","999.0","156","($60.3)","($36.9)","($21.7)","($18.6)","($51.0)","($188.5)","$48.5","($139.1)"
"Jose Rondon","White Sox","1B/2B/3B/SS/DH","999.0","130","($65.2)","($34.2)","($22.2)","($15.8)","($45.3)","($182.7)","$42.6","($139.1)"
"Logan Forsythe","Rangers","2B","999.0","81","($67.1)","($38.5)","($21.9)","($19.5)","($51.3)","($198.3)","$58.1","($139.1)"
"Brandon Phillips","","2B/3B","999.0","71","($66.6)","($38.5)","($23.1)","($18.6)","($51.9)","($198.8)","$58.1","($139.6)"
"Ben Gamel","Brewers","OF","597.4","111","($60.3)","($37.3)","($22.3)","($16.4)","($51.2)","($187.5)","$46.4","($140.2)"
