"PlayerName","Team","POS","ADP","IP","mW","mSV","mERA","mWHIP","mSO","PTS","aPOS","Dollars"
"Tony Cingrani","Reds","RP","595.5","64","($24.7)","($7.0)","($18.0)","($30.8)","($26.0)","($106.4)","$52.5","($52.9)"
"Rob Whalen","Mariners","SP","999.0","42","($29.3)","($13.5)","($22.9)","($14.9)","($36.5)","($117.2)","$63.3","($52.9)"
"Randall Delgado","Diamondbacks","RP","829.3","71","($15.5)","($13.5)","($19.3)","($34.2)","($24.0)","($106.6)","$52.5","($53.1)"
"Richard Bleier","Orioles","RP","999.0","43","($29.3)","($13.5)","($10.2)","($10.7)","($43.2)","($107.0)","$52.5","($53.5)"
"Jeanmar Gomez","Phillies","RP","330.8","68","($24.7)","$2.8","($23.5)","($29.4)","($32.2)","($107.1)","$52.5","($53.6)"
"Bud Norris","Dodgers","SP/RP","903.7","44","($29.3)","($13.5)","($23.8)","($16.2)","($35.4)","($118.2)","$63.3","($53.9)"
"Kirby Yates","Angels","RP","999.0","43","($29.3)","($13.5)","($17.7)","($14.6)","($32.2)","($107.4)","$52.5","($53.9)"
"Taylor Rogers","Twins","RP","950.8","64","($24.7)","($13.5)","($18.0)","($23.0)","($28.3)","($107.6)","$52.5","($54.1)"
"John Axford","Athletics","RP","832.0","63","($24.7)","($10.2)","($15.6)","($31.1)","($26.0)","($107.7)","$52.5","($54.2)"
"Jose Berrios","Twins","SP","334.5","99","($10.9)","($13.5)","($47.0)","($30.6)","($16.6)","($118.7)","$63.3","($54.4)"
"Jose Alvarez","Angels","RP","999.0","60","($29.3)","($13.5)","($12.4)","($22.4)","($30.3)","($108.0)","$52.5","($54.5)"
"Jason Vargas","Royals","SP","548.4","124","($10.9)","($13.5)","($45.3)","($33.9)","($15.4)","($119.0)","$63.3","($54.7)"
"Lisalverto Bonilla","Rangers","RP","999.0","37","($29.3)","($13.5)","($15.0)","($14.7)","($35.8)","($108.3)","$52.5","($54.8)"
"David Hernandez","Phillies","RP","999.0","53","($24.7)","($13.5)","($14.8)","($26.7)","($28.7)","($108.5)","$52.5","($55.0)"
"Jake Peavy","","SP","913.0","76","($20.1)","($13.5)","($38.4)","($20.9)","($26.4)","($119.3)","$63.3","($55.0)"
"Adalberto Mejia","Twins","SP","828.5","61","($24.7)","($13.5)","($22.2)","($26.0)","($33.0)","($119.4)","$63.3","($55.1)"
"Mike Leake","Cardinals","SP","347.6","188","$12.1","($13.5)","($67.0)","($51.1)","($0.1)","($119.6)","$63.3","($55.3)"
"Dustin McGowan","Marlins","RP","932.8","62","($24.7)","($13.5)","($13.3)","($29.5)","($27.9)","($109.0)","$52.5","($55.5)"
"Alec Asher","Phillies","SP","692.6","45","($29.3)","($13.5)","($26.1)","($12.0)","($38.9)","($119.9)","$63.3","($55.6)"
"Scott Alexander","Royals","RP","999.0","42","($29.3)","($13.5)","($7.9)","($20.7)","($38.5)","($110.0)","$52.5","($56.5)"
"Mike Clevinger","Indians","SP","624.4","71","($20.1)","($13.5)","($30.5)","($30.4)","($26.4)","($120.9)","$63.3","($56.6)"
"R.A. Dickey","Braves","SP","415.6","181","$7.5","($13.5)","($65.7)","($53.4)","$4.2","($121.0)","$63.3","($56.7)"
"Arquimedes Caminero","Mariners","RP","999.0","56","($24.7)","($13.5)","($10.6)","($33.5)","($29.1)","($111.4)","$52.5","($57.9)"
"Tommy Kahnle","White Sox","RP","999.0","51","($29.3)","($13.5)","($10.2)","($29.3)","($29.1)","($111.4)","$52.5","($58.0)"
"Louis Coleman","Dodgers","RP","999.0","41","($29.3)","($13.5)","($13.1)","($21.1)","($35.0)","($112.0)","$52.5","($58.5)"
"Mike Dunn","Rockies","RP","943.3","55","($24.7)","($13.5)","($23.2)","($22.2)","($28.7)","($112.3)","$52.5","($58.9)"
"Amir Garrett","Reds","SP","999.0","55","($24.7)","($13.5)","($23.2)","($29.9)","($31.8)","($123.2)","$63.3","($58.9)"
"Justin Nicolino","Marlins","SP/RP","847.1","46","($29.3)","($13.5)","($21.0)","($17.5)","($42.0)","($123.3)","$63.3","($59.0)"
"Brad Peacock","Astros","SP/RP","820.6","50","($29.3)","($13.5)","($26.5)","($20.0)","($34.2)","($123.6)","$63.3","($59.3)"
"Tyler Duffey","Twins","SP","647.1","127","($1.7)","($13.5)","($56.0)","($42.5)","($10.7)","($124.5)","$63.3","($60.2)"
"Andrew Bailey","Angels","RP","585.3","46","($29.3)","($11.9)","($21.0)","($17.5)","($34.2)","($113.8)","$52.5","($60.3)"
"John Gant","Cardinals","SP/RP","999.0","59","($29.3)","($13.5)","($21.3)","($30.5)","($30.3)","($124.9)","$63.3","($60.6)"
"JC Ramirez","Angels","RP","984.6","80","($20.1)","($13.5)","($29.0)","($25.4)","($26.4)","($114.4)","$52.5","($60.9)"
"Kevin McCarthy","Royals","RP","999.0","36","($29.3)","($13.5)","($12.7)","($18.9)","($40.1)","($114.5)","$52.5","($61.0)"
"Jose Urena","Marlins","SP/RP","894.3","61","($24.7)","($13.5)","($29.7)","($24.0)","($33.8)","($125.8)","$63.3","($61.5)"
"Zack Godley","Diamondbacks","SP/RP","863.6","55","($24.7)","($13.5)","($30.7)","($26.1)","($31.1)","($126.1)","$63.3","($61.8)"
"Kevin Jepsen","Rays","RP","999.0","41","($29.3)","($13.5)","($16.8)","($19.1)","($36.5)","($115.4)","$52.5","($61.9)"
"Jorge de la Rosa","Diamondbacks","SP","916.9","72","($20.1)","($13.5)","($29.1)","($37.8)","($26.0)","($126.5)","$63.3","($62.2)"
"Tyler Cravy","Brewers","RP","999.0","39","($29.3)","($13.5)","($19.7)","($15.9)","($37.3)","($115.8)","$52.5","($62.3)"
"Jim Henderson","Mets","RP","969.6","43","($29.3)","($13.5)","($17.7)","($20.4)","($35.0)","($116.0)","$52.5","($62.5)"
"Jose Ramirez","Braves","RP","999.0","37","($29.3)","($13.5)","($11.3)","($26.3)","($35.8)","($116.2)","$52.5","($62.7)"
"German Marquez","Rockies","SP","816.9","79","($15.5)","($13.5)","($37.9)","($35.4)","($25.6)","($127.9)","$63.3","($63.6)"
"Michael Ynoa","White Sox","RP","999.0","46","($29.3)","($13.5)","($13.5)","($25.2)","($35.8)","($117.3)","$52.5","($63.8)"
"Lucas Harrell","","SP","999.0","36","($29.3)","($13.5)","($16.4)","($28.6)","($40.5)","($128.3)","$63.3","($64.0)"
"Patrick Corbin","Diamondbacks","SP","441.1","88","($15.5)","($11.9)","($36.4)","($44.0)","($20.5)","($128.3)","$63.3","($64.0)"
